,1D,WTD,1W,MTD,1M,QTD,3M,6M,YTD,1Y,2Y,Max,range 364d
005380.KS,-0.6,-3.0,-4.4,-15.2,-10.3,-15.2,-7.2,21.7,3.4,0.9,-1.2,-0.9,0.56
7203.T,-1.2,0.7,-2.9,-1.4,4.5,-1.4,-18.5,-9.9,-2.6,4.9,-3.7,3.1,0.15
F,0.0,-4.7,1.6,10.4,17.0,10.4,-0.2,12.7,3.1,-11.9,-8.2,-29.8,0.55
GM,0.0,-2.3,0.5,4.1,1.5,4.1,3.0,23.1,18.3,5.4,3.4,-25.6,0.95
RNO.PA,0.0,3.5,-2.0,0.2,-1.5,0.2,-4.2,28.7,21.8,9.4,34.5,54.8,0.65
TSLA,0.0,1.4,-1.7,17.6,27.2,17.6,50.3,-0.9,-18.2,-25.7,-38.0,-42.9,0.52
VOW3.DE,0.0,-2.5,-1.0,-0.7,0.1,-0.7,-14.8,-10.0,-8.6,-21.7,-21.4,-15.9,0.06
SP500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
