,1D,WTD,1W,MTD,1M,QTD,3M,6M,YTD,1Y,2Y,Max,range 364d
005380.KS,-0.4,-1.6,-5.2,-12.7,-8.0,-12.7,5.1,45.6,32.2,35.6,48.7,36.6,0.76
7203.T,-0.9,1.0,-5.2,-5.7,1.0,-5.7,-11.7,5.0,21.2,38.8,48.9,57.7,0.6
F,0.0,-3.8,-0.4,11.5,18.1,11.5,9.8,27.8,19.2,7.1,27.8,-19.0,0.91
GM,0.0,-1.3,-1.4,4.0,1.2,4.0,12.1,37.9,35.2,26.7,42.2,-15.2,0.95
RNO.PA,0.0,3.1,-3.7,1.0,-0.7,1.0,5.8,43.4,36.1,27.7,95.9,68.1,0.8
TSLA,0.0,2.5,-3.6,20.9,30.7,20.9,68.4,14.4,-3.7,-8.0,-12.1,-33.0,0.78
VOW3.DE,0.0,-2.9,-2.7,0.2,0.9,0.2,-5.9,0.3,2.1,-8.6,14.5,-8.6,0.54
SP500,0.0,1.0,-2.0,0.8,0.7,0.8,9.9,13.2,15.4,21.4,39.0,15.2,0.91
